Player,POS,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Marquez Valdes-Scantling,WR,19,7.13,0.3751,0.1425,0.0044,0.0000,0.0000,0.0000,0.00,0.0000,7.13,0.2741,0.1425
Tre Tucker,WR,13,7.02,0.5403,0.1596,0.0054,0.0000,0.0000,0.0000,1.29,0.1294,5.73,0.3015,0.1685
Kyle Philips,WR,8,6.90,0.8626,0.3137,0.0052,0.0000,0.0000,0.0000,0.00,0.0000,6.90,0.4601,0.3137
K.J. Osborn,WR,15,6.86,0.4571,0.0914,0.0050,0.0000,0.0000,0.0000,0.00,0.0000,6.86,0.1428,0.0914
Dyami Brown,WR,13,6.79,0.5221,0.2715,0.0049,-0.2723,-0.2723,-0.2723,-0.95,-0.9456,8.01,0.6671,0.3481
Mo Alie-Cox,TE,13,6.74,0.5184,0.3063,0.0047,0.0000,0.0000,0.0000,0.00,0.0000,6.74,0.5184,0.3063
C.J. Beathard,QB,6,6.74,1.1230,0.1105,0.0047,5.1930,0.1298,0.0980,1.55,0.1931,0.00,0.0000,0.0000
Jonnu Smith,TE,15,6.70,0.4467,0.0931,0.0048,-0.9683,0.0000,-0.9683,-0.37,-0.3716,8.04,0.1608,0.1149
Quentin Johnston,WR,17,6.69,0.3936,0.0956,0.0048,0.0000,0.0000,0.0000,-0.93,-0.3113,7.62,0.2007,0.1138
Ronnie Bell,WR,8,6.62,0.8274,0.5091,0.0045,0.0000,0.0000,0.0000,0.00,0.0000,6.62,1.1031,0.5091
Geoff Swaim,TE,7,6.52,0.9311,0.5925,0.0047,0.0000,0.0000,0.0000,0.00,0.0000,6.52,0.6518,0.5925
Andrei Iosivas,WR,9,6.36,0.7068,0.2545,0.0047,0.0000,0.0000,0.0000,0.00,0.0000,6.36,0.4241,0.2545
Jordan Mason,RB,9,5.98,0.6648,0.1360,0.0041,0.0000,0.0000,0.0000,5.34,0.1334,0.65,0.2160,0.1620
Pharaoh Brown,TE,9,5.89,0.6539,0.3923,0.0045,0.0000,0.0000,0.0000,0.00,0.0000,5.89,0.4527,0.3923
Rashod Bateman,WR,17,5.87,0.3456,0.0932,0.0038,0.0000,0.0000,0.0000,2.49,2.4864,3.39,0.0941,0.0546
Ihmir Smith-Marsette,WR,7,5.75,0.8218,0.3196,0.0041,0.0000,0.0000,0.0000,4.30,0.5373,1.45,0.1818,0.1454
Deonte Harty,WR,14,5.68,0.4060,0.2105,0.0036,0.0000,0.0000,0.0000,-2.46,-0.6150,8.14,0.4791,0.3541
Alex Erickson,WR,8,5.57,0.6968,0.1922,0.0040,0.0000,0.0000,0.0000,0.00,0.0000,5.57,0.3484,0.1922
Russell Wilson,QB,15,5.32,0.3548,0.0101,0.0040,-13.8324,-0.0466,-0.0309,19.15,0.2394,0.00,0.0000,0.0000
Samaje Perine,RB,17,5.11,0.3004,0.0469,0.0038,0.0000,0.0000,0.0000,-7.49,-0.1414,12.60,0.2520,0.2250
Malik Heath,WR,12,5.10,0.4247,0.2124,0.0034,0.0000,0.0000,0.0000,0.00,0.0000,5.10,0.3398,0.2124
Jamison Crowder,WR,7,4.82,0.6885,0.2410,0.0035,0.0000,0.0000,0.0000,0.00,0.0000,4.82,0.3012,0.2410
Payne Durham,TE,7,4.77,0.6820,0.5968,0.0032,0.0000,0.0000,0.0000,0.00,0.0000,4.77,0.7957,0.5968
Joe Burrow,QB,10,4.73,0.4727,0.0119,0.0035,8.5267,0.0349,0.0234,-3.80,-0.1226,0.00,0.0000,0.0000
KhaDarel Hodge,WR,13,4.35,0.3345,0.1812,0.0031,0.0000,0.0000,0.0000,-0.63,-0.6305,4.98,0.3556,0.2165
Richie James,WR,10,4.34,0.4339,0.2552,0.0027,0.0000,0.0000,0.0000,0.00,0.0000,4.34,0.3945,0.2552
Jeremy Ruckert,TE,10,4.23,0.4229,0.1922,0.0030,0.0000,0.0000,0.0000,0.00,0.0000,4.23,0.2643,0.1922
Taylor Heinicke,QB,5,4.13,0.8260,0.0274,0.0030,-6.1703,-0.0834,-0.0454,10.30,0.6867,0.00,0.0000,0.0000
Kendre Miller,RB,7,4.06,0.5794,0.0780,0.0029,0.0000,0.0000,0.0000,-1.21,-0.0296,5.27,0.5268,0.4789
Justin Watson,WR,18,4.03,0.2241,0.0695,0.0025,0.0000,0.0000,0.0000,0.00,0.0000,4.03,0.1344,0.0695
David Montgomery,RB,17,4.02,0.2362,0.0139,0.0024,0.0000,0.0000,0.0000,9.53,0.0369,-5.51,-0.2506,-0.1778
Charlie Jones,WR,5,3.94,0.7878,0.3581,0.0029,0.0000,0.0000,0.0000,1.20,0.5990,2.74,0.3915,0.3045
Greg Dortch,WR,9,3.93,0.4366,0.0936,0.0028,0.0000,0.0000,0.0000,-0.07,-0.0695,4.00,0.1666,0.0975
Stone Smartt,TE,12,3.89,0.3238,0.1851,0.0028,0.0000,0.0000,0.0000,0.00,0.0000,3.89,0.3533,0.1851
Josh Whyle,TE,8,3.88,0.4853,0.2588,0.0029,0.0000,0.0000,0.0000,0.00,0.0000,3.88,0.4314,0.2588
Nick Chubb,RB,2,3.88,1.9400,0.1212,0.0024,0.0000,0.0000,0.0000,3.23,0.1154,0.65,0.1620,0.1620
Josh Oliver,TE,12,3.87,0.3225,0.1382,0.0028,0.0000,0.0000,0.0000,0.00,0.0000,3.87,0.1759,0.1382
Jalen Brooks,WR,3,3.82,1.2720,0.6360,0.0025,0.0000,0.0000,0.0000,0.00,0.0000,3.82,0.6360,0.6360
Julio Jones,WR,9,3.79,0.4214,0.1724,0.0026,0.0000,0.0000,0.0000,0.00,0.0000,3.79,0.2709,0.1724
Andy Dalton,QB,2,3.70,1.8482,0.0606,0.0026,2.3406,0.0688,0.0404,1.36,0.4519,0.00,0.0000,0.0000
Lawrence Cager,TE,3,3.48,1.1596,0.6958,0.0025,0.0000,0.0000,0.0000,0.00,0.0000,3.48,0.8697,0.6958
Ty Chandler,RB,13,3.46,0.2660,0.0272,0.0025,0.0000,0.0000,0.0000,-0.08,-0.0007,3.53,0.1682,0.1413
Jeffery Wilson,RB,10,3.43,0.3434,0.0572,0.0024,0.0000,0.0000,0.0000,0.11,0.0027,3.32,0.2214,0.1748
Hunter Luepke,RB,6,3.42,0.5698,0.3419,0.0022,0.0000,0.0000,0.0000,4.87,0.8111,-1.45,-0.4827,-0.3620
Latavius Murray,RB,17,3.36,0.1974,0.0314,0.0021,0.0000,0.0000,0.0000,-2.81,-0.0356,6.17,0.2804,0.2203
Anthony Richardson,QB,4,3.29,0.8227,0.0302,0.0023,3.5079,0.0702,0.0418,-0.22,-0.0087,0.00,0.0000,0.0000
Robert Tonyan,TE,11,3.22,0.2931,0.1897,0.0023,0.0000,0.0000,0.0000,0.00,0.0000,3.22,0.2931,0.1897
Xavier Gipson,WR,14,3.15,0.2250,0.0685,0.0023,0.0000,0.0000,0.0000,3.77,0.4711,-0.62,-0.0295,-0.0163
Brycen Hopkins,TE,4,3.10,0.7750,0.4429,0.0021,0.0000,0.0000,0.0000,0.00,0.0000,3.10,0.6200,0.4429
Damien Harris,RB,6,3.04,0.5063,0.1215,0.0019,0.0000,0.0000,0.0000,2.38,0.1034,0.66,0.3295,0.3295
Ray-Ray McCloud,WR,8,3.01,0.3760,0.1504,0.0021,0.0000,0.0000,0.0000,1.99,0.6637,1.02,0.0782,0.0598
Calvin Austin,WR,15,2.96,0.1973,0.0688,0.0021,0.0000,0.0000,0.0000,3.47,0.3158,-0.51,-0.0286,-0.0161
Johnny Mundt,TE,9,2.78,0.3089,0.1209,0.0020,0.0000,0.0000,0.0000,0.00,0.0000,2.78,0.1635,0.1209
Equanimeous St. Brown,WR,5,2.73,0.5467,0.4556,0.0020,0.0000,0.0000,0.0000,0.00,0.0000,2.73,0.5467,0.4556
Isaiah Hodgins,WR,14,2.44,0.1742,0.0739,0.0018,0.0000,0.0000,0.0000,0.00,0.0000,2.44,0.1161,0.0739
Robbie Chosen,WR,5,2.41,0.4810,0.4009,0.0017,0.0000,0.0000,0.0000,0.00,0.0000,2.41,0.6013,0.4009
Marcedes Lewis,TE,5,2.37,0.4748,0.4748,0.0017,0.0000,0.0000,0.0000,0.00,0.0000,2.37,0.5935,0.4748
Kevin Harris,RB,4,2.32,0.5801,0.1221,0.0018,0.0000,0.0000,0.0000,-2.68,-0.1673,5.00,1.6656,1.6656
Chris Conley,WR,2,2.31,1.1542,0.3298,0.0016,0.0000,0.0000,0.0000,0.00,0.0000,2.31,0.5771,0.3298
Cedrick Wilson,WR,12,2.26,0.1882,0.0502,0.0016,-1.3575,0.0000,0.0000,0.00,0.0000,3.62,0.1446,0.0804
Jalin Hyatt,WR,13,2.16,0.1660,0.0539,0.0016,0.0000,0.0000,0.0000,0.00,0.0000,2.16,0.0938,0.0539
DeVante Parker,WR,13,2.15,0.1653,0.0391,0.0016,0.0000,0.0000,0.0000,0.00,0.0000,2.15,0.0651,0.0391
Derrick Henry,RB,17,2.11,0.1238,0.0066,0.0016,4.4282,2.2141,1.4761,-5.42,-0.0194,3.10,0.1107,0.0861
Ty Johnson,RB,9,2.09,0.2326,0.0381,0.0013,0.0000,0.0000,0.0000,0.68,0.0152,1.41,0.1763,0.1410
Keith Kirkwood,WR,7,1.94,0.2767,0.2152,0.0014,0.0000,0.0000,0.0000,0.00,0.0000,1.94,0.3874,0.2152
Tommy Tremble,TE,13,1.90,0.1464,0.0595,0.0013,0.0000,0.0000,0.0000,0.00,0.0000,1.90,0.0828,0.0595
Tyler Conklin,TE,17,1.88,0.1109,0.0214,0.0014,0.0000,0.0000,0.0000,-3.55,-3.5537,5.44,0.0892,0.0625
Noah Gray,TE,19,1.87,0.0985,0.0367,0.0012,0.0000,0.0000,0.0000,-2.81,-2.8054,4.68,0.1376,0.0936
Ben Sims,TE,7,1.86,0.2663,0.2663,0.0012,0.0000,0.0000,0.0000,0.00,0.0000,1.86,0.3729,0.2663
Isaiah McKenzie,WR,9,1.73,0.1922,0.1017,0.0012,0.0000,0.0000,0.0000,-0.40,-0.1324,2.13,0.1933,0.1519
Lucas Krull,TE,7,1.71,0.2442,0.1221,0.0013,0.0000,0.0000,0.0000,0.00,0.0000,1.71,0.2137,0.1221
Alvin Kamara,RB,13,1.64,0.1263,0.0062,0.0012,0.0000,0.0000,0.0000,-0.36,-0.0020,2.01,0.0267,0.0233
Nate Adkins,TE,4,1.53,0.3825,0.3060,0.0011,0.0000,0.0000,0.0000,0.00,0.0000,1.53,0.3825,0.3060
Drew Sample,TE,14,1.46,0.1045,0.0542,0.0011,0.0000,0.0000,0.0000,0.00,0.0000,1.46,0.0665,0.0542
Marcus Mariota,QB,2,1.44,0.7187,0.0464,0.0010,-3.9137,-0.2609,-0.1702,5.35,0.6689,0.00,0.0000,0.0000
Craig Reynolds,RB,7,1.38,0.1969,0.0293,0.0008,0.0000,0.0000,0.0000,-1.62,-0.0386,3.00,0.5999,0.5999
DeAndre Carter,WR,8,1.33,0.1666,0.1333,0.0010,0.0000,0.0000,0.0000,4.00,1.3346,-2.67,-0.6676,-0.3815
Kyren Williams,RB,13,1.31,0.1006,0.0045,0.0009,0.0000,0.0000,0.0000,16.43,0.0682,-15.12,-0.4583,-0.3087
Tyler Boyd,WR,17,1.30,0.0767,0.0129,0.0010,-6.4984,0.0000,-6.4984,0.72,0.3595,7.08,0.1057,0.0723
Jarrett Stidham,QB,2,1.30,0.6519,0.0174,0.0010,6.1984,0.1550,0.0939,-4.89,-0.5438,0.00,0.0000,0.0000
Justyn Ross,WR,5,1.08,0.2160,0.0982,0.0007,0.0000,0.0000,0.0000,0.00,0.0000,1.08,0.1800,0.0982
Josiah Deguara,TE,4,1.04,0.2601,0.1301,0.0007,0.0000,0.0000,0.0000,0.00,0.0000,1.04,0.1301,0.1301
Byron Pringle,WR,12,1.00,0.0830,0.0453,0.0007,0.0000,0.0000,0.0000,0.00,0.0000,1.00,0.0711,0.0453
Britain Covey,WR,2,0.89,0.4428,0.1476,0.0006,0.0000,0.0000,0.0000,0.00,0.0000,0.89,0.2214,0.1476
Darnell Washington,TE,9,0.73,0.0814,0.0666,0.0005,0.0000,0.0000,0.0000,0.00,0.0000,0.73,0.1047,0.0666
Emanuel Wilson,RB,7,0.62,0.0881,0.0193,0.0004,0.0000,0.0000,0.0000,-1.82,-0.0700,2.44,0.4874,0.4061
Allen Lazard,WR,13,0.44,0.0340,0.0090,0.0003,0.0000,0.0000,0.0000,0.00,0.0000,0.44,0.0192,0.0090
Jamal Agnew,WR,8,0.41,0.0515,0.0165,0.0003,0.0000,0.0000,0.0000,-2.92,-0.7312,3.34,0.2383,0.1589
Hunter Renfrow,WR,13,0.23,0.0179,0.0063,0.0002,0.0000,0.0000,0.0000,0.00,0.0000,0.23,0.0093,0.0063
Mitchell Wilcox,TE,9,0.21,0.0233,0.0174,0.0002,0.0000,0.0000,0.0000,0.00,0.0000,0.21,0.0233,0.0174
Christian Watson,WR,11,0.17,0.0154,0.0028,0.0001,0.0000,0.0000,0.0000,-1.50,-0.3738,1.66,0.0555,0.0297
Boston Scott,RB,10,0.10,0.0097,0.0037,0.0001,0.0000,0.0000,0.0000,-2.90,-0.1448,2.99,0.7482,0.4988
Derius Davis,WR,14,-0.01,-0.0010,-0.0004,0.0000,0.0000,0.0000,0.0000,5.20,0.3712,-5.21,-0.3474,-0.3065
Robert Woods,WR,15,-0.06,-0.0037,-0.0007,0.0000,0.0000,0.0000,0.0000,0.18,0.1848,-0.24,-0.0057,-0.0030
Cole Turner,TE,7,-0.07,-0.0099,-0.0046,-0.0001,0.0000,0.0000,0.0000,0.00,0.0000,-0.07,-0.0063,-0.0046
Tim Jones,WR,9,-0.19,-0.0207,-0.0103,-0.0001,0.0000,0.0000,0.0000,0.00,0.0000,-0.19,-0.0169,-0.0103
Ben Skowronek,WR,10,-0.30,-0.0301,-0.0201,-0.0002,0.0000,0.0000,0.0000,-1.75,-0.8734,1.45,0.1606,0.1112
Tyler Huntley,QB,5,-0.47,-0.0943,-0.0091,-0.0003,4.5504,0.2167,0.1230,-5.02,-0.3348,0.00,0.0000,0.0000
Adam Trautman,TE,16,-0.53,-0.0332,-0.0152,-0.0004,0.0000,0.0000,0.0000,0.00,0.0000,-0.53,-0.0241,-0.0152
Brenton Strange,TE,5,-0.57,-0.1144,-0.0635,-0.0004,0.0000,0.0000,0.0000,0.00,0.0000,-0.57,-0.1144,-0.0635
Parker Washington,WR,6,-0.64,-0.1070,-0.0306,-0.0005,0.0000,0.0000,0.0000,0.00,0.0000,-0.64,-0.0401,-0.0306
Kene Nwangwu,RB,3,-0.82,-0.2747,-0.1648,-0.0006,0.0000,0.0000,0.0000,-0.82,-0.1648,0.00,0.0000,0.0000
Treylon Burks,WR,9,-0.91,-0.1011,-0.0260,-0.0007,0.0000,0.0000,0.0000,-0.57,-0.1138,-0.34,-0.0213,-0.0114
Leonard Fournette,RB,2,-1.03,-0.5154,-0.0859,-0.0007,0.0000,0.0000,0.0000,-1.03,-0.0859,0.00,0.0000,0.0000
Jordan Akins,TE,13,-1.03,-0.0794,-0.0449,-0.0006,0.0000,0.0000,0.0000,0.00,0.0000,-1.03,-0.0688,-0.0449
Jonathan Taylor,RB,10,-1.04,-0.1036,-0.0054,-0.0007,0.0000,0.0000,0.0000,-4.75,-0.0281,3.71,0.1954,0.1614
Brandon Powell,WR,13,-1.08,-0.0828,-0.0220,-0.0008,0.0000,0.0000,0.0000,-0.31,-0.0619,-0.77,-0.0264,-0.0174
Velus Jones,WR,10,-1.08,-0.1081,-0.0721,-0.0008,0.0000,0.0000,0.0000,0.44,0.0556,-1.53,-0.3815,-0.2180
J.K. Dobbins,RB,1,-1.24,-1.2445,-0.1131,-0.0008,0.0000,0.0000,0.0000,-1.66,-0.2080,0.42,0.2097,0.1398
Ko Kieft,TE,3,-1.39,-0.4620,-0.2772,-0.0009,0.0000,0.0000,0.0000,0.00,0.0000,-1.39,-1.3859,-0.2772
Rakim Jarrett,WR,6,-1.45,-0.2424,-0.1455,-0.0010,0.0000,0.0000,0.0000,-0.43,-0.4299,-1.02,-0.2562,-0.1139
Laviska Shenault,WR,8,-1.48,-0.1850,-0.0673,-0.0010,0.0000,0.0000,0.0000,0.01,0.0011,-1.49,-0.1494,-0.1494
Davis Mills,QB,6,-1.50,-0.2507,-0.0334,-0.0010,-2.3257,-0.1224,-0.0581,0.82,0.1643,0.00,0.0000,0.0000
Drew Lock,QB,4,-1.58,-0.3954,-0.0195,-0.0012,-1.2629,-0.0263,-0.0166,-0.32,-0.0638,0.00,0.0000,0.0000
Stephen Sullivan,TE,10,-1.62,-0.1623,-0.0676,-0.0011,0.0000,0.0000,0.0000,0.00,0.0000,-1.62,-0.1353,-0.0676
Jalen Nailor,WR,2,-1.64,-0.8190,-0.2730,-0.0012,0.0000,0.0000,0.0000,0.00,0.0000,-1.64,-0.5460,-0.2730
Jalen Guyton,WR,7,-1.64,-0.2344,-0.0781,-0.0012,0.0000,0.0000,0.0000,0.00,0.0000,-1.64,-0.1641,-0.0781
Mike Gesicki,TE,15,-1.68,-0.1121,-0.0374,-0.0013,0.0000,0.0000,0.0000,0.00,0.0000,-1.68,-0.0580,-0.0374
Mike Boone,RB,7,-1.68,-0.2407,-0.1203,-0.0011,0.0000,0.0000,0.0000,-2.08,-0.4155,0.39,0.0562,0.0437
Peyton Hendershot,TE,7,-1.79,-0.2557,-0.2237,-0.0012,0.0000,0.0000,0.0000,-0.16,-0.1625,-1.63,-0.4068,-0.2325
Jalen Tolbert,WR,14,-1.83,-0.1305,-0.0481,-0.0012,0.0000,0.0000,0.0000,0.00,0.0000,-1.83,-0.0831,-0.0481
Gary Brightwell,RB,3,-1.84,-0.6125,-0.1148,-0.0013,0.0000,0.0000,0.0000,-4.00,-0.4450,2.17,0.4334,0.3096
Jack Stoll,TE,5,-1.86,-0.3727,-0.2329,-0.0013,0.0000,0.0000,0.0000,0.00,0.0000,-1.86,-0.3727,-0.2329
Erik Ezukanma,WR,2,-1.99,-0.9970,-0.3323,-0.0014,0.0000,0.0000,0.0000,-1.04,-0.2086,-0.95,0.0000,-0.9509
Trey Palmer,WR,19,-2.08,-0.1094,-0.0273,-0.0014,0.0000,0.0000,0.0000,1.74,0.4349,-3.82,-0.0909,-0.0530
Damien Williams,RB,3,-2.23,-0.7433,-0.1715,-0.0016,0.0000,0.0000,0.0000,-2.28,-0.2069,0.05,0.0228,0.0228
Chase Brown,RB,10,-2.31,-0.2309,-0.0391,-0.0017,0.0000,0.0000,0.0000,-8.98,-0.2041,6.67,0.4764,0.4447
La'Mical Perine,RB,2,-2.34,-1.1701,-0.0867,-0.0015,0.0000,0.0000,0.0000,-2.04,-0.0926,-0.30,-0.1008,-0.0605
Marquise Brown,WR,13,-2.57,-0.1978,-0.0250,-0.0019,0.0000,0.0000,0.0000,0.86,0.4307,-3.43,-0.0673,-0.0340
Rico Dowdle,RB,17,-2.60,-0.1531,-0.0224,-0.0017,0.0000,0.0000,0.0000,-8.63,-0.0948,6.02,0.3171,0.2410
D'Onta Foreman,RB,9,-2.61,-0.2896,-0.0209,-0.0019,0.0000,0.0000,0.0000,-3.95,-0.0362,1.34,0.1222,0.0840
Zay Jones,WR,9,-2.85,-0.3166,-0.0445,-0.0020,0.0000,0.0000,0.0000,0.00,0.0000,-2.85,-0.0838,-0.0445
Kayshon Boutte,WR,3,-2.85,-0.9509,-0.4075,-0.0022,0.0000,0.0000,0.0000,0.00,0.0000,-2.85,-1.4263,-0.4075
Lynn Bowden,WR,8,-2.86,-0.3574,-0.1362,-0.0020,0.0000,0.0000,0.0000,-0.68,-0.1358,-2.18,-0.1982,-0.1363
Keelan Doss,WR,2,-2.93,-1.4642,-0.2253,-0.0021,0.0000,0.0000,0.0000,0.00,0.0000,-2.93,-0.4881,-0.2253
Justice Hill,RB,18,-2.93,-0.1627,-0.0198,-0.0019,0.0000,0.0000,0.0000,-1.08,-0.0108,-1.85,-0.0545,-0.0386
Elijah Dotson,RB,1,-2.97,-2.9710,-0.4952,-0.0021,0.0000,0.0000,0.0000,-3.13,-0.7836,0.16,0.0817,0.0817
Gus Edwards,RB,19,-2.98,-0.1570,-0.0131,-0.0019,0.0000,0.0000,0.0000,-12.15,-0.0576,9.17,0.6548,0.5730
Israel Abanikanda,RB,6,-2.99,-0.4983,-0.0906,-0.0022,0.0000,0.0000,0.0000,-2.55,-0.1159,-0.44,-0.0628,-0.0399
Brian Robinson,RB,15,-3.11,-0.2071,-0.0141,-0.0023,0.0000,0.0000,0.0000,-23.36,-0.1312,20.25,0.5625,0.4710
D'Ernest Johnson,RB,15,-3.19,-0.2127,-0.0602,-0.0022,0.0000,0.0000,0.0000,-13.27,-0.3237,10.08,1.0080,0.8400
Trent Sherfield,WR,10,-3.24,-0.3238,-0.1295,-0.0021,0.0000,0.0000,0.0000,0.00,0.0000,-3.24,-0.2699,-0.1295
Austin Trammell,WR,2,-3.26,-1.6280,-0.4651,-0.0022,0.0000,0.0000,0.0000,0.00,0.0000,-3.26,-0.8140,-0.4651
Darrynton Evans,RB,6,-3.28,-0.5459,-0.0744,-0.0012,0.0000,0.0000,0.0000,1.71,0.0536,-4.99,-0.7127,-0.4158
Rondale Moore,WR,17,-3.31,-0.1947,-0.0368,-0.0024,0.0000,0.0000,0.0000,0.74,0.0264,-4.05,-0.1012,-0.0653
Chris Rodriguez,RB,8,-3.34,-0.4172,-0.0630,-0.0024,0.0000,0.0000,0.0000,-3.91,-0.0766,0.57,0.2852,0.2852
Tyrion Davis-Price,RB,1,-3.37,-3.3736,-0.5623,-0.0023,0.0000,0.0000,0.0000,-3.37,-0.5623,0.00,0.0000,0.0000
Samori Toure,WR,8,-3.39,-0.4233,-0.1882,-0.0023,0.0000,0.0000,0.0000,0.00,0.0000,-3.39,-0.4233,-0.1882
Trey Sermon,RB,8,-3.41,-0.4260,-0.0831,-0.0024,0.0000,0.0000,0.0000,-0.67,-0.0192,-2.74,-0.9120,-0.4560
Rashaad Penny,RB,3,-3.47,-1.1558,-0.2889,-0.0023,0.0000,0.0000,0.0000,-3.38,-0.3069,-0.09,-0.0916,-0.0916
C.J. Uzomah,TE,7,-3.52,-0.5023,-0.2930,-0.0025,0.0000,0.0000,0.0000,0.00,0.0000,-3.52,-0.4395,-0.2930
Derek Carr,QB,17,-3.53,-0.2079,-0.0061,-0.0025,16.2992,0.0435,0.0297,-19.83,-0.6198,0.00,0.0000,0.0000
John Metchie,WR,15,-3.57,-0.2380,-0.1020,-0.0023,0.0000,0.0000,0.0000,0.49,0.2471,-4.06,-0.2139,-0.1232
Julian Hill,TE,6,-3.61,-0.6018,-0.4012,-0.0025,0.0000,0.0000,0.0000,0.00,0.0000,-3.61,-0.6018,-0.4012
Gardner Minshew,QB,16,-3.78,-0.2363,-0.0072,-0.0027,-1.4526,-0.0048,-0.0030,-2.33,-0.0685,0.00,0.0000,0.0000
Donovan Peoples-Jones,WR,12,-3.78,-0.3153,-0.1513,-0.0012,0.0000,0.0000,0.0000,0.00,0.0000,-3.78,-0.2910,-0.1513
Tony Jones,RB,6,-3.83,-0.6390,-0.1065,-0.0014,0.0000,0.0000,0.0000,0.59,0.0227,-4.42,-0.6321,-0.4425
Tyjae Spears,RB,17,-3.84,-0.2259,-0.0226,-0.0029,0.0000,0.0000,0.0000,-2.31,-0.0231,-1.53,-0.0294,-0.0219
Quez Watkins,WR,6,-4.02,-0.6700,-0.1608,-0.0027,0.0000,0.0000,0.0000,0.00,0.0000,-4.02,-0.2233,-0.1608
Allen Robinson,WR,16,-4.03,-0.2522,-0.0776,-0.0029,0.0000,0.0000,0.0000,0.00,0.0000,-4.03,-0.1121,-0.0776
Harrison Bryant,TE,14,-4.08,-0.2916,-0.1317,-0.0026,0.0000,0.0000,0.0000,2.27,0.4537,-6.35,-0.3736,-0.2443
